mountain_no,mountain_name,summit_candidate_id,candidate_rank_for_mountain,candidate_rank_for_summit_candidate,combined_candidate_score,confidence,match_status,candidate_generation_strategy,source_gpx_basename,track_name,candidate_lat,candidate_lon,candidate_ele_m,grounding_distance_m,csv_coordinate_distance_m,elevation_diff_m,municipality_compatibility,name_evidence_tier,needs_human_review,review_reason_codes,notes
425,黒川山,summit-candidate:109bc31ba8b3aa15,1,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-09-21_08_53.gpx,前社ヶ森・剣山・黒川山,NaN,NaN,,,,,,strong,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
425,黒川山,summit-candidate:56e8244e578a141a,2,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-09-21_08_53.gpx,前社ヶ森・剣山・黒川山,NaN,NaN,,,,,,strong,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
425,黒川山,summit-candidate:6b97922a3935a9a5,3,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-09-21_08_53.gpx,前社ヶ森・剣山・黒川山,NaN,NaN,,,,,,strong,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
425,黒川山,summit-candidate:ee632dd427dbb1ff,4,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-09-21_08_53.gpx,前社ヶ森・剣山・黒川山,NaN,NaN,,,,,,strong,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
426,前社ヶ森,summit-candidate:109bc31ba8b3aa15,1,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-09-21_08_53.gpx,前社ヶ森・剣山・黒川山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
426,前社ヶ森,summit-candidate:56e8244e578a141a,2,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-09-21_08_53.gpx,前社ヶ森・剣山・黒川山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
426,前社ヶ森,summit-candidate:6b97922a3935a9a5,3,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-09-21_08_53.gpx,前社ヶ森・剣山・黒川山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
426,前社ヶ森,summit-candidate:ee632dd427dbb1ff,4,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-09-21_08_53.gpx,前社ヶ森・剣山・黒川山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
427,剣山,summit-candidate:109bc31ba8b3aa15,1,3,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-09-21_08_53.gpx,前社ヶ森・剣山・黒川山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
427,剣山,summit-candidate:56e8244e578a141a,2,3,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-09-21_08_53.gpx,前社ヶ森・剣山・黒川山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
